id_persona,temperature,situacao,lifestyle,stai_total,stai_1,stai_2,stai_3,stai_4,stai_5,stai_6,stai_7,stai_8,stai_9,stai_10,stai_11,stai_12,stai_13,stai_14,stai_15,stai_16,stai_17,stai_18,stai_19,stai_20
P000347,0.9,padrao_1,sedentário,50,3,3,2,3,3,2,4,3,3,2,4,3,3,2,3,2,3,4,3,2
P009779,0.9,padrao_1,moderado,49,3,2,3,2,2,3,2,3,2,3,1,2,3,2,4,3,2,3,2,3
P001292,0.9,padrao_1,moderado,47,3,3,2,4,3,3,2,3,2,3,4,2,3,3,4,2,3,4,3,2
P009928,0.9,padrao_1,moderado,50,3,2,3,2,3,2,3,2,3,2,3,3,2,3,3,2,3,2,3,2
P010421,0.9,padrao_1,muito ativo,47,3,3,2,3,3,2,3,4,2,3,2,3,3,2,4,2,3,2,3,4
P009077,0.9,padrao_1,moderado,52,3,2,3,3,2,3,2,3,2,2,3,2,3,3,2,3,2,3,2,3
P007108,0.9,padrao_1,moderado,50,3,3,2,3,2,3,2,3,2,2,3,2,3,3,2,3,2,3,2,3
P006918,0.9,padrao_1,moderado,49,3,3,4,3,2,3,2,3,2,3,2,3,3,2,4,3,3,2,3,3
P004153,0.9,padrao_1,moderado,51,3,3,2,3,2,2,3,2,3,2,2,3,3,2,3,2,2,3,3,2
P006843,0.9,padrao_1,sedentário,54,3,3,2,3,2,3,4,2,3,3,2,3,2,4,3,2,3,2,3,3
P006370,0.9,padrao_1,ativo,50,3,2,3,2,3,4,2,3,2,3,2,4,3,2,3,3,4,2,3,2
P006771,0.9,padrao_1,moderado,49,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
P010436,0.9,padrao_1,moderado,53,3,2,2,3,2,3,3,2,2,3,3,2,3,2,3,2,4,3,2,3
P008423,0.9,padrao_1,moderado,52,3,3,2,3,2,4,3,2,4,3,2,3,2,3,2,3,2,3,4,2
P006130,0.9,padrao_1,sedentário,49,3,2,3,2,4,3,2,3,4,2,3,4,2,3,2,4,3,2,4,3
P004510,0.9,padrao_1,moderado,48,3,3,4,2,3,2,4,3,2,3,4,2,3,3,2,4,3,2,3,4
P009466,0.9,padrao_1,moderado,49,3,2,2,3,3,2,3,2,2,3,2,3,3,2,3,2,3,2,3,2
P000626,0.9,padrao_1,moderado,48,3,3,2,3,3,2,3,2,2,3,2,3,2,3,3,2,3,2,3,2
P004477,0.9,padrao_1,moderado,53,3,2,3,2,3,2,3,2,3,2,3,3,3,2,3,2,3,3,2,3
P002203,0.9,padrao_1,moderado,49,3,3,2,2,4,3,2,3,2,3,2,3,4,3,2,3,3,2,2,3
P002730,0.9,padrao_1,moderado,53,3,3,2,4,3,3,4,2,3,2,4,3,2,3,3,2,4,3,3,2
P001153,0.9,padrao_1,ativo,49,3,2,3,4,2,3,1,3,2,4,2,3,1,3,2,4,3,2,3,4
P000834,0.9,padrao_1,moderado,53,3,3,4,2,4,3,2,3,3,4,2,3,4,3,2,3,4,3,2,3
P001163,0.9,padrao_1,moderado,50,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
P008350,0.9,padrao_1,ativo,56,3,2,3,4,3,2,3,2,4,3,2,3,4,3,2,3,2,4,3,2
P010426,0.9,padrao_1,moderado,49,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
P001108,0.9,padrao_1,moderado,47,3,3,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
P002849,0.9,padrao_1,moderado,49,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
P009722,0.9,padrao_1,moderado,50,3,3,2,3,2,3,2,4,3,2,3,2,4,3,2,3,2,4,3,2
P006552,0.9,padrao_1,moderado,48,2,3,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
P010741,0.9,padrao_1,muito ativo,50,3,3,2,4,3,3,2,4,3,2,3,2,4,3,2,4,3,2,3,4
P004357,0.9,padrao_1,moderado,51,3,3,4,2,3,2,4,3,3,2,4,3,4,2,3,3,4,2,3,3
P004617,0.9,padrao_1,moderado,53,3,2,3,2,3,2,3,2,3,2,3,2,4,3,2,3,2,3,2,3
P009063,0.9,padrao_1,ativo,52,3,3,2,2,3,3,2,2,3,2,3,2,3,3,2,2,3,3,2,3
P003789,0.9,padrao_1,moderado,51,3,2,3,3,2,3,2,3,2,3,2,3,2,4,3,3,2,4,3,2
P008934,0.9,padrao_1,moderado,50,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
P008231,0.9,padrao_1,moderado,57,3,4,3,2,3,3,4,2,3,2,3,4,3,4,2,3,4,3,2,3
P003635,0.9,padrao_1,moderado,48,2,3,2,3,2,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2
P009744,0.9,padrao_1,ativo,51,3,2,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2,3,2,3
P008615,0.9,padrao_1,moderado,61,3,2,3,4,2,3,4,2,3,2,3,4,2,3,3,2,4,3,2,4
P008382,0.9,padrao_1,moderado,46,3,3,2,2,3,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2
P003778,0.9,padrao_1,ativo,48,3,3,2,4,3,3,2,3,2,3,4,3,2,3,3,2,3,4,3,2
P004891,0.9,padrao_1,moderado,56,3,2,2,4,3,3,2,3,4,3,2,3,4,3,2,3,4,2,3,4
P009044,0.9,padrao_1,moderado,50,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
P007828,0.9,padrao_1,moderado,48,3,3,2,3,2,3,2,3,1,2,3,2,3,2,3,2,3,2,1,2
P000721,0.9,padrao_1,moderado,48,3,3,2,3,2,3,3,2,2,3,3,2,2,3,3,2,3,2,3,2
P003537,0.9,padrao_1,moderado,50,3,3,2,4,2,3,3,2,4,3,3,2,3,2,3,4,3,2,3,3
P009527,0.9,padrao_1,moderado,53,3,3,2,3,2,3,2,2,4,3,2,3,2,3,2,3,2,3,2,3
P007341,0.9,padrao_1,ativo,43,3,3,2,2,3,3,2,4,2,3,4,3,2,3,2,3,2,3,4,3
P006995,0.9,padrao_1,moderado,52,3,2,4,3,2,3,2,4,3,2,3,4,3,2,3,1,2,3,4,2
P008057,0.9,padrao_1,moderado,46,3,4,3,3,4,3,2,3,2,3,4,2,3,3,4,2,3,4,3,3
P010393,0.9,padrao_1,ativo,52,3,3,2,3,2,3,2,3,4,2,3,3,2,3,2,3,3,2,3,4
P008250,0.9,padrao_1,moderado,56,3,3,2,4,2,3,2,3,4,2,3,4,3,2,3,2,3,4,2,3
P004250,0.9,padrao_1,moderado,51,3,3,2,4,2,3,2,3,4,2,3,2,4,3,2,4,3,2,4,3
P008435,0.9,padrao_1,moderado,50,3,2,3,2,2,3,2,2,3,3,2,3,2,2,3,2,3,2,3,2
P005109,0.9,padrao_1,sedentário,56,3,2,3,2,3,2,3,2,4,2,3,3,2,4,3,2,4,3,2,3
P003030,0.9,padrao_1,moderado,47,3,3,2,2,3,2,3,2,2,3,2,3,3,2,3,2,3,2,3,2
P003382,0.9,padrao_1,moderado,47,3,3,2,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2
P008164,0.9,padrao_1,moderado,42,3,3,2,3,4,3,2,3,2,3,4,3,2,3,4,3,2,3,3,2
P007203,0.9,padrao_1,moderado,45,3,3,2,2,3,2,2,3,3,2,4,3,2,3,2,3,3,2,4,3
P005480,0.9,padrao_1,moderado,49,2,3,2,3,2,3,2,3,1,2,3,2,2,3,2,3,2,3,2,3
P009658,0.9,padrao_1,moderado,51,3,3,2,3,2,3,2,2,3,3,2,2,3,4,3,2,3,2,3,2
P004631,0.9,padrao_1,moderado,51,3,2,2,3,3,2,3,2,3,2,2,3,3,2,2,3,2,3,3,2
P010336,0.9,padrao_1,moderado,51,2,3,2,3,2,3,3,2,2,3,2,3,3,2,3,2,3,2,3,2
P003905,0.9,padrao_1,moderado,53,3,2,3,2,3,2,3,2,3,2,2,3,3,2,3,2,3,2,2,3
P001597,0.9,padrao_1,moderado,50,2,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2,3,2,3,2
P003869,0.9,padrao_1,moderado,54,3,3,2,4,3,2,3,2,4,3,2,3,2,4,3,2,4,3,3,2
P001216,0.9,padrao_1,moderado,52,3,3,2,3,2,3,4,2,3,2,3,2,4,3,2,3,2,3,4,2
P002523,0.9,padrao_1,moderado,51,3,3,2,3,2,3,2,2,3,2,2,3,3,2,3,2,2,3,3,2
P008885,0.9,padrao_1,sedentário,50,3,3,2,2,3,2,3,3,2,3,2,3,2,3,2,2,3,3,2,3
P003385,0.9,padrao_1,moderado,51,3,3,2,4,3,2,3,2,4,3,3,2,4,3,2,3,3,2,4,3
P010304,0.9,padrao_1,moderado,46,3,2,3,2,4,3,2,3,2,3,4,3,2,3,2,4,2,3,2,3
P002142,0.9,padrao_1,moderado,54,3,3,2,4,2,3,3,2,4,2,3,2,3,4,2,3,3,2,4,3
P002596,0.9,padrao_1,sedentário,50,3,3,2,3,2,3,2,3,2,2,3,3,2,4,3,3,2,3,2,3
P006606,0.9,padrao_1,sedentário,48,3,4,3,2,3,2,4,3,2,4,3,2,3,4,3,2,3,4,3,2
P001456,0.9,padrao_1,ativo,57,3,2,3,3,2,4,3,2,3,2,4,3,2,3,2,3,4,3,2,3
P008426,0.9,padrao_1,moderado,49,3,2,3,2,3,2,2,3,2,3,2,3,3,2,2,3,2,3,2,3
P002484,0.9,padrao_1,moderado,50,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
P002765,0.9,padrao_1,ativo,46,3,3,2,2,3,2,3,2,3,2,3,2,3,2,3,3,3,2,3,2
P000648,0.9,padrao_1,moderado,49,3,2,3,3,2,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2
P004361,0.9,padrao_1,moderado,48,3,2,3,2,3,3,2,3,2,2,3,2,3,2,3,3,2,3,2,3
P007991,0.9,padrao_1,moderado,51,3,3,2,3,2,3,2,2,3,2,3,4,3,2,2,3,2,3,4,3
P008047,0.9,padrao_1,sedentário,52,3,2,3,4,2,3,2,3,2,4,3,2,3,4,2,3,4,2,3,3
P008970,0.9,padrao_1,ativo,50,3,4,3,2,3,4,3,2,3,4,2,4,3,2,3,4,3,2,3,4
P007279,0.9,padrao_1,moderado,52,3,3,2,4,2,3,3,2,4,3,2,3,2,4,3,3,2,3,4,2
P009533,0.9,padrao_1,moderado,54,3,3,4,2,3,3,3,2,4,2,3,3,2,4,3,3,4,2,3,3
P003320,0.9,padrao_1,moderado,50,2,3,2,3,2,3,2,3,2,2,3,2,3,2,2,3,2,3,2,3
P009821,0.9,padrao_1,moderado,42,3,4,2,3,4,2,3,4,3,2,4,3,2,3,4,3,2,3,4,3
P009103,0.9,padrao_1,sedentário,52,3,2,3,2,3,4,2,3,3,2,3,4,2,3,2,4,3,2,3,4
P002179,0.9,padrao_1,moderado,48,3,3,2,2,3,2,3,3,2,2,3,2,3,2,3,2,3,3,2,3
P001770,0.9,padrao_1,moderado,49,3,3,2,2,2,3,2,3,2,3,2,2,3,3,2,2,3,2,3,3
P006700,0.9,padrao_1,sedentário,55,3,3,2,4,2,3,3,2,4,2,3,4,3,2,4,2,3,4,3,2
P002660,0.9,padrao_1,moderado,50,3,3,2,3,2,4,3,2,3,2,4,3,2,3,2,4,3,2,3,2
P008890,0.9,padrao_1,moderado,50,3,3,2,2,3,2,3,3,2,2,3,3,2,3,2,2,3,3,2,3
P001294,0.9,padrao_1,moderado,51,3,2,3,2,3,3,2,3,3,2,3,2,3,2,3,2,3,3,2,3
P003855,0.9,padrao_1,moderado,53,3,3,2,3,2,4,3,2,3,2,3,4,2,3,2,3,3,2,4,3
P000008,0.9,padrao_1,moderado,47,3,2,3,2,3,2,2,3,4,3,2,2,3,2,3,3,2,3,4,3
P000633,0.9,padrao_1,ativo,42,3,2,3,2,3,2,2,3,1,2,3,2,3,2,3,3,2,2,3,1
P001690,0.9,padrao_1,moderado,52,3,4,3,2,4,3,4,2,3,4,3,2,4,3,2,3,4,3,2,3
P001748,0.9,padrao_1,moderado,51,3,3,2,3,2,3,2,2,4,3,2,3,3,2,3,3,2,4,3,2
P008966,0.9,padrao_1,moderado,54,3,2,2,3,1,3,2,2,3,1,2,3,2,3,2,3,1,2,2,3
P005050,0.9,padrao_1,moderado,46,3,3,2,2,3,2,3,2,2,3,3,2,3,2,3,2,2,3,3,3
P008108,0.9,padrao_1,sedentário,52,3,3,3,2,2,3,3,2,2,3,2,3,2,3,3,2,3,2,2,3
P001385,0.9,padrao_1,sedentário,50,3,3,2,3,2,3,2,3,2,3,2,4,3,2,3,3,2,3,2,3
P001543,0.9,padrao_1,moderado,52,3,2,3,2,3,2,3,2,2,3,1,3,2,3,2,3,2,3,2,3
P004317,0.9,padrao_1,moderado,48,3,3,3,2,3,2,3,3,2,3,2,3,2,4,3,2,3,2,3,2
P002280,0.9,padrao_1,moderado,49,3,3,4,2,3,2,3,4,3,2,4,3,4,2,3,3,4,2,3,3
P001432,0.9,padrao_1,moderado,51,3,3,2,3,2,3,2,2,3,2,2,3,3,2,3,2,2,3,3,2
P008218,0.9,padrao_1,moderado,47,3,3,2,3,2,3,2,4,2,3,2,3,2,3,3,2,3,2,3,2
P007327,0.9,padrao_1,moderado,56,3,3,2,4,3,2,3,2,4,3,2,3,2,4,3,2,3,3,2,4
P009589,0.9,padrao_1,moderado,48,3,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,2,3,3,2
P005086,0.9,padrao_1,moderado,50,3,3,2,3,2,2,3,2,3,3,2,3,2,3,3,2,3,2,3,2
P003475,0.9,padrao_1,moderado,51,3,3,4,2,3,2,3,4,2,3,2,3,3,4,2,3,3,2,3,4
P000366,0.9,padrao_1,moderado,48,3,2,3,2,3,2,2,3,3,2,2,3,1,2,3,2,3,2,3,3
P002107,0.9,padrao_1,moderado,51,3,2,3,2,3,2,3,2,3,2,2,3,3,2,3,2,3,2,3,2
P000843,0.9,padrao_1,moderado,48,3,4,3,2,4,3,3,2,4,3,2,3,4,2,3,4,3,2,4,3
P003267,0.9,padrao_1,moderado,49,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
P007291,0.9,padrao_1,moderado,49,3,2,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2
P000300,0.9,padrao_1,moderado,49,3,2,3,2,3,4,2,3,2,3,2,3,3,2,4,3,2,3,2,3
P004167,0.9,padrao_1,moderado,49,3,4,3,3,2,3,4,2,3,4,3,2,3,2,3,4,2,3,2,3
P007668,0.9,padrao_1,moderado,52,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,2,3,3,2,3
P010722,0.9,padrao_1,ativo,48,3,4,3,2,2,3,3,4,3,2,3,2,3,3,4,2,4,3,4,2
P007238,0.9,padrao_1,moderado,50,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3
P009002,0.9,padrao_1,moderado,51,3,3,2,2,3,2,3,2,4,3,1,3,2,3,2,2,3,2,3,2
P006977,0.9,padrao_1,sedentário,46,3,4,3,2,3,4,2,3,2,3,4,3,2,3,4,2,3,2,3,4
P002514,0.9,padrao_1,ativo,52,3,2,3,2,3,2,3,1,3,2,3,2,2,3,2,3,2,3,2,3
P002812,0.9,padrao_1,moderado,50,3,3,2,3,2,4,3,3,2,3,2,3,1,2,3,2,3,3,2,2
P006999,0.9,padrao_1,moderado,49,3,2,3,2,3,3,2,3,2,3,3,2,3,3,2,3,2,3,2,3
P004757,0.9,padrao_1,sedentário,48,3,3,4,2,3,3,2,2,3,3,4,2,3,3,2,4,3,2,3,3
P008143,0.9,padrao_1,moderado,43,3,4,2,3,4,3,2,3,3,2,4,3,2,3,4,3,2,3,4,3
P001164,0.9,padrao_1,moderado,50,3,3,2,2,3,3,2,2,3,2,3,3,2,3,2,3,2,4,3,3
P006632,0.9,padrao_1,moderado,48,3,4,3,2,3,4,2,3,2,3,4,3,2,4,3,2,4,3,4,3
P006386,0.9,padrao_1,moderado,50,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
P007014,0.9,padrao_1,moderado,52,3,4,3,4,2,3,2,3,3,4,2,3,4,2,3,3,2,4,3,4
P008751,0.9,padrao_1,moderado,45,3,2,2,2,3,3,2,3,2,3,4,3,2,3,2,3,3,2,3,2
P000691,0.9,padrao_1,moderado,44,3,3,2,4,3,3,2,3,2,4,3,2,3,2,3,4,3,2,3,3
P000872,0.9,padrao_1,ativo,51,3,4,3,2,3,3,2,4,3,2,4,3,3,4,3,2,3,4,2,3
P006054,0.9,padrao_1,moderado,48,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2
P008398,0.9,padrao_1,moderado,48,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2
P006881,0.9,padrao_1,moderado,53,3,2,3,2,4,3,3,2,3,1,4,2,3,3,2,2,3,3,2,2
P006722,0.9,padrao_1,moderado,50,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
P006824,0.9,padrao_1,moderado,50,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
P008131,0.9,padrao_1,ativo,48,3,4,3,4,3,2,3,4,2,3,4,2,3,4,3,2,4,3,4,3
P003439,0.9,padrao_1,ativo,49,3,4,3,2,3,3,2,4,3,2,3,3,2,4,3,2,3,4,3,2
P002007,0.9,padrao_1,moderado,51,3,3,2,3,2,3,2,2,3,2,3,2,3,2,2,3,2,3,2,3
P004639,0.9,padrao_1,moderado,48,3,3,2,3,2,3,1,2,3,2,3,3,2,4,2,3,2,1,3,2
P007815,0.9,padrao_1,moderado,50,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
P001561,0.9,padrao_1,sedentário,53,3,3,2,3,2,3,4,2,3,2,3,4,2,3,3,2,2,3,4,3
P007722,0.9,padrao_1,moderado,50,3,3,4,2,3,2,3,3,4,2,3,3,2,4,2,3,2,3,4,2
P003474,0.9,padrao_1,moderado,45,3,3,2,2,3,2,3,2,2,3,2,3,1,3,2,3,2,2,3,2
P003605,0.9,padrao_1,sedentário,49,3,4,3,2,3,4,3,2,3,4,2,3,2,3,4,2,3,3,4,3
P000161,0.9,padrao_1,ativo,50,3,4,3,2,3,2,3,4,2,3,2,3,4,3,2,3,4,2,3,4
P005515,0.9,padrao_1,moderado,48,3,4,2,3,3,2,4,3,2,3,3,2,4,3,2,3,2,4,3,2
P000882,0.9,padrao_1,moderado,45,3,3,2,3,2,2,3,3,2,4,2,3,3,2,3,4,3,2,3,2
P003832,0.9,padrao_1,moderado,49,3,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2,3,2,3,2
P003445,0.9,padrao_1,moderado,49,3,4,3,2,3,4,2,3,4,2,3,1,3,4,2,3,2,3,4,3
P005250,0.9,padrao_1,moderado,49,3,2,3,3,2,3,2,3,2,3,3,2,3,2,3,3,2,3,2,3
P005785,0.9,padrao_1,moderado,52,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
P010114,0.9,padrao_1,sedentário,46,3,4,2,3,4,2,3,3,4,2,3,4,2,3,4,3,2,3,4,3
P002840,0.9,padrao_1,ativo,50,3,3,2,4,3,3,2,4,2,3,3,2,4,3,2,4,3,3,2,4
P008464,0.9,padrao_1,moderado,53,3,3,2,4,2,3,3,2,3,4,3,2,4,3,2,3,3,2,3,4
P000393,0.9,padrao_1,moderado,50,3,3,2,4,3,2,3,4,2,3,3,4,2,3,2,3,4,2,3,4
P002495,0.9,padrao_1,moderado,50,3,3,3,2,4,2,3,2,4,3,2,3,3,2,4,2,3,2,3,4
P005236,0.9,padrao_1,moderado,55,3,3,2,4,2,3,3,2,4,3,2,3,3,2,4,3,4,3,2,3
P000923,0.9,padrao_1,moderado,48,3,3,2,3,2,2,3,3,2,3,3,2,3,2,3,2,3,2,2,3
P009642,0.9,padrao_1,ativo,54,3,2,3,2,2,3,4,2,3,3,2,3,4,2,3,3,2,4,3,2
P002389,0.9,padrao_1,moderado,51,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2,2,3,2,3,2
P010177,0.9,padrao_1,sedentário,49,3,4,3,2,3,4,3,2,3,2,3,3,4,2,3,4,3,2,4,3
P004345,0.9,padrao_1,sedentário,47,3,3,2,3,4,3,2,3,4,3,2,4,3,2,3,4,3,2,4,3
P001541,0.9,padrao_1,moderado,50,3,3,2,3,2,4,3,2,3,2,4,3,2,3,2,4,3,2,3,2
P007949,0.9,padrao_1,moderado,53,3,3,2,4,2,3,3,2,4,3,2,3,4,1,3,2,3,2,4,3
P006178,0.9,padrao_1,moderado,48,3,2,3,3,2,3,2,3,1,2,3,2,3,4,2,3,1,2,3,2
P001551,0.9,padrao_1,moderado,48,3,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2
P004437,0.9,padrao_1,moderado,42,3,2,3,2,4,3,2,3,2,3,4,2,3,2,3,4,2,3,4,3
P007886,0.9,padrao_1,sedentário,48,3,4,3,2,3,4,2,3,3,2,4,3,2,3,4,2,3,4,3,2
P004800,0.9,padrao_1,moderado,52,3,3,2,3,2,3,3,2,3,2,4,2,3,3,2,3,2,3,2,3
P010677,0.9,padrao_1,moderado,49,3,3,2,3,3,3,2,2,3,3,2,3,2,2,3,3,2,3,2,3
P010721,0.9,padrao_1,sedentário,54,3,4,3,2,3,3,4,2,3,4,2,3,3,4,2,3,4,2,3,4
P002894,0.9,padrao_1,moderado,47,3,3,2,3,2,3,3,2,2,3,3,2,2,4,3,3,2,2,4,3
P007399,0.9,padrao_1,moderado,51,3,2,3,2,2,3,3,2,2,3,2,3,2,3,2,3,2,3,3,2
P003313,0.9,padrao_1,moderado,48,3,4,3,2,3,4,2,3,3,2,3,4,2,3,4,3,2,4,3,2
P009183,0.9,padrao_1,sedentário,47,3,4,2,3,4,2,3,4,3,2,3,4,2,3,4,2,3,4,3,2
P006005,0.9,padrao_1,moderado,51,3,3,2,4,3,2,3,2,3,4,3,2,3,4,3,2,3,4,3,2
